65, 3, 1000, 87
66, 3, 1088, 207
67, 3, 1296, 150
68, 3, 1447, 153
69, 3, 1601, 147
70, 3, 1749, 132
71, 3, 1882, 165
72, 3, 2048, 162
73, 3, 2211, 72
74, 3, 2284, 111
75, 3, 2396, 162
76, 3, 2559, 99
77, 3, 2659, 147
78, 3, 2807, 123
79, 3, 2931, 156
80, 3, 3088, 147
81, 3, 3236, 186
82, 3, 3423, 183
83, 3, 3607, 159
84, 3, 3767, 114
85, 3, 3882, 165
86, 3, 4048, 90
87, 3, 4139, 120
88, 3, 4260, 159
89, 3, 4420, 135
90, 3, 4556, 78
97, 3, 4635, 234
98, 3, 4870, 171
99, 3, 5042, 138
100, 3, 5181, 198
101, 3, 5380, 159
102, 3, 5540, 135
103, 3, 5676, 315
104, 3, 5992, 171
105, 3, 6164, 126
106, 3, 6291, 138
107, 3, 6430, 147
108, 3, 6578, 69
109, 3, 6648, 267
110, 3, 6916, 186
111, 3, 7103, 141
112, 3, 7245, 186
113, 3, 7432, 177
114, 3, 7610, 132
115, 3, 7743, 177
116, 3, 7921, 102
117, 3, 8024, 168
118, 3, 8193, 90
119, 3, 8284, 144
120, 3, 8429, 159
121, 3, 8589, 123
122, 3, 8713, 87
48, 3, 8801, 171
49, 3, 8973, 75
50, 3, 9049, 123
51, 3, 9173, 231
52, 3, 9405, 69
53, 3, 9475, 171
54, 3, 9647, 177
55, 3, 9825, 69
56, 3, 9895, 273
57, 3, 10169, 171
33, 3, 10341, 93
34, 3, 10435, 81
35, 3, 10517, 129
36, 3, 10647, 234
37, 3, 10882, 306
38, 3, 11189, 315
39, 3, 11505, 39
40, 3, 11545, 69
41, 3, 11615, 69
42, 3, 11685, 201
43, 3, 11887, 54
44, 3, 11942, 69
45, 3, 12012, 24
46, 3, 12037, 60
47, 3, 12098, 24
58, 3, 12123, 81
59, 3, 12205, 111
60, 3, 12317, 42
61, 3, 12360, 45
62, 3, 12406, 42
63, 3, 12449, 159
64, 3, 12609, 324
91, 3, 12934, 48
92, 3, 12983, 24
93, 3, 13008, 48
94, 3, 13057, 36
95, 3, 13094, 24
96, 3, 13119, 39
123, 3,13159, 177
124, 3,13337, 18
125, 3,13356, 177
126, 3,13534, 84
